"Description_1";"Description_2";"id"
"Grand Royal Fizz";" gin, lemon juice, egg, cream, orange juice, maraschino liqueur, sugar";997.0
"Grand Slam Cocktail #1";" Swedish Punch/Punsch, dry vermouth, sweet vermouth";998.0
"Grand Slam Cocktail #2";" apricot flavored brandy, lime juice, brandy, gin";999.0
"Grandville Cocktail";" gin, lemon juice, Calvados, Grand Marnier";1000.0
"Grapefruit Cooler";" grapefruit juice, blended whiskey, grenadine, lemon juice";1001.0
"Grapefruit Nog";" grapefruit juice, brandy, lemon juice, egg, honey, sugar";1002.0
"Gravel Gertie";" clam juice, tomato juice, vodka, Tabasco sauce";1003.0
"Great Secret Cocktail";" gin, Lillet Blanc, Angostura bitters";1004.0
"Greek Buck";" Metaxa, lemon juice, ouzo";1005.0
"Green Back Cocktail";" gin, crème de menthe, lime juice";1006.0
"Greenbriar Cocktail";" cocktail Sherry, dry vermouth, sprig of mint, peach bitters";1007.0
"Greenbriar Cocktail #2";" sweet vermouth, gin, sprig of mint";1008.0
"Green Bullet";" green Chartreuse, 151 proof rum";1009.0
"Green Eyed Monster";" Irish whiskey, sweet vermouth, crème de menthe, aromatic bitters";1010.0
"Green Hopper";" cream";1011.0
"Green Jade Cocktail";" egg white, cream, gin, crème de menthe";1012.0
"Green Mist";" green Chartreuse, dry vermouth, sweet vermouth, Galliano";1013.0
"Green Orchid";" crème de menthe, pastis, egg white";1014.0
"Green Room Cocktail";" dry vermouth, Cognac or brandy, Curaçao";1015.0
"Green Snatcher";" Galliano";1016.0
"Green Spider";" vodka, crème de menthe";1017.0
"Green Star Cocktail";" kirsch, Curaçao, crème de menthe";1018.0
"Green Swizzle";" lime juice, gin, crème de menthe, sugar";1019.0
"Grenadier Cocktail";" brandy, ginger-flavored brandy liqueur, lemon juice, sugar";1020.0
"Grenadier Cocktail Variation";" ginger wine, Cognac, sugar";1021.0
"Grenadine Cocktail";" gin, crème de menthe, pastis, grenadine";1022.0
"Grenadine Fizz";" gin, grenadine, lemon juice";1023.0
"Grenadine Rickey";" grenadine, lime juice";1024.0
"Guards Cocktail";" gin, sweet vermouth, Curaçao";1025.0
"Guava Cooler";" guava nectar, white rum, pineapple juice, lemon juice, maraschino liqueur, sugar";1026.0
"Gunga Din Cocktail";" gin, orange juice, pineapple slice, dry vermouth";1027.0
"Gypsy Punch";" white rum, lemon juice, grenadine, sugar";1028.0
"Habitant Cocktail";" Canadian whiskey or Cognac, lemon juice, simple syrup";1029.0
"Hague Cocktail";" Bourbon, green Chartreuse, dry vermouth";1030.0
"Hair Of The Dog";" blended Scotch, honey, cream";1031.0
"Haitian Cocktail";" Haitian rum, lime juice, sugar";1032.0
"Hakam Cocktail";" sweet vermouth, gin, Curaçao, orange bitters";1033.0
"H & H Cocktail";" gin, Lillet Blanc, Curaçao";1034.0
"Hanky Panky Cocktail";" gin, sweet vermouth, Fernet Branca";1035.0
"Haote Pikia";" white rum, Okolehao, Angostura bitters";1036.0
"Happy Thought";" crème de violette, crème de menthe, crème de rose, Cognac, crème de cacao, anisette";1037.0
"Harbor Light";" Galliano, Metaxa";1038.0
"Hard Four";" egg white, Cognac, parfait amour, Galliano";1039.0
"Hari Kari";" Bourbon or rye whiskey, lemon juice, sugar";1040.0
"Harmony";" brandy, maraschino liqueur, strawberry syrup, orange bitters";1041.0
"Harpo's Special Cocktail";" white rum, lemon juice, Curaçao, sugar, aromatic bitters";1042.0
"Harrity Cocktail";" Bourbon or rye whiskey, gin, aromatic bitters";1043.0
"Harrovian Cocktail";" gin, Angostura bitters, lemon juice, orange juice";1044.0
"Harry Lauder Cocktail";" sweet vermouth, blended Scotch, sugar";1045.0
"Harry's Cocktail";" gin, sprig of mint, sweet vermouth, pastis";1046.0
"Harry's Pick Me Up";" Cognac or brandy, lemon juice, grenadine";1047.0
"Harvard Fizz";" brandy, sweet vermouth, sugar, orange bitters";1048.0
"Harvard Special";" Pimm's Cup #1, Galliano";1049.0
"Harvard Wine";" dry vermouth, brandy, orange bitters";1050.0
"Havana Beach Cocktail";" white rum, pineapple juice";1051.0
"Havana Club Cocktail";" gold rum, dry vermouth";1052.0
"Havana Club Rickey";" lime wheel, white rum";1053.0
"Havana Rainbow Plus";" Jamaican rum, Yellow Chartreuse, Curaçao, crème de menthe, parfait amour, anisette, grenadine";1054.0
"Have A Heart Cocktail";" gin, lime juice, Swedish Punch/Punsch, grenadine";1055.0
"Havelock Hiball";" ginger wine, brandy";1056.0
"Hawaii Cocktail";" egg white, gin, pineapple juice, aromatic bitters";1057.0
"Hawaiian Brandy Cocktail";" apple brandy, pineapple juice, lemon juice, maraschino liqueur";1058.0
"Hawaiian Bull";" blended Scotch, orgeat";1059.0
"Hawaiian Cooler #1";" rye whiskey";1060.0
"Hawaiian Cooler #2";" pineapple juice, vodka, pineapple slice, crème de menthe";1061.0
"Hawaiian Daisy";" white rum, pineapple juice, 151 proof rum, grenadine, lime juice";1062.0
"Hawaiian Screwdriver";" orange wheel, vodka, Galliano, lemon juice";1063.0
"H Bomb Cocktail";" Bourbon, brandy, green Chartreuse, Yellow Chartreuse";1064.0
"Headlong Fall Cocktail";" dry vermouth, gin, Benedictine, pastis";1065.0
"Hearn's Cocktail";" pastis, sweet vermouth, Irish whiskey or Bourbon, aromatic bitters";1066.0
"Hearst Cocktail";" sweet vermouth, gin, Angostura bitters, orange bitters";1067.0
"Heartbeat";" vodka, lemon juice, Galliano, green Chartreuse";1068.0
"Heather Cocktail";" blended Scotch, dry vermouth, grenadine, orange bitters, Angostura bitters";1069.0
"Heat Wave";" rock & rye, triple sec, Jamaican rum, lemon juice";1070.0
"Helen's Own Cocktail";" dry vermouth, gin, orange juice, apricot flavored brandy";1071.0
"Hell";" brandy, crème de menthe";1072.0
"Melon's Russian";" vodka, Kahlua";1073.0
"He Loves Me Cocktail";" gin, egg white, sweet vermouth, pineapple juice, grenadine";1074.0
"Here's How";" brandy, Port";1075.0
"Hesitation Cocktail";" Swedish Punch/Punsch, Bourbon or rye whiskey, lemon juice";1076.0
"Hey Hey Cocktail";" Lillet Blanc, brandy, Cointreau, lemon juice";1077.0
"H. G. Wells Cocktail";" Bourbon, dry vermouth, pastis";1078.0
"Hibiscus Cocktail";" white rum, lemon juice, grenadine, dry vermouth";1079.0
"High Hat Cocktail";" rye whiskey, Cherry Heering, lemon juice";1080.0
"High Hat Cocktail Variation";" grapefruit juice, brandy";1081.0
"Highland Cocktail";" sweet vermouth, blended Scotch, aromatic bitters";1082.0
"Highland Screw";" blended Scotch";1083.0
"Highland Witch";" blended Scotch, Strega";1084.0
"High Life Cocktail";" egg white, Port, brandy, sugar";1085.0
"Hi Ho Cocktail";" gin, Port, orange bitters";1086.0
"Hilliard Cocktail";" gin, sweet vermouth, Peychaud bitters";1087.0
"Hillsboro Cocktail";" gin, dry vermouth, Angostura bitters, orange bitters";1088.0
"Hillycroft Cooler";" gin";1089.0
"Hobby Cocktail";" Bourbon, gin, Curaçao, orange bitters";1090.0
"Hobson Cocktail";" sloe gin, Curaçao, pastis";1091.0
"Hocus Pocus Cocktail";" lemon juice, Cointreau, gin";1092.0
"Hoffman House Fizz";" gin, lemon juice, orange juice, grenadine, cream, maraschino liqueur, sugar";1093.0
"Holland House Cocktail";" genever gin, dry vermouth, lemon juice, maraschino liqueur";1094.0
"Holland House Fizz";" genever gin, lemon juice, sugar";1095.0
"Hollywood Cocktail";" egg white, white rum or gin or rum, grapefruit juice, grenadine";1096.0
"Home On The Range";" Dubonnet, Bourbon, Cointreau, Angostura bitters";1097.0
"Honeydew Cooler";" gin, lemon juice, cream, pastis, sugar";1098.0
"Honeysuckle Cocktail";" gold rum, honey, lime juice";1099.0
"Hong Kong Cocktail";" dry vermouth, gin, lime juice, sugar, Angostura bitters";1100.0
"Hong Kong Cocktail Variation";" gin, orange juice, dry vermouth, kirsch, lemon juice";1101.0
"Honi Honi Cocktail";" white rum, lemon juice, apricot flavored brandy";1102.0
"Honolulu Cafe Cocktail";" cream, dry vermouth, gin, pineapple juice";1103.0
"Honolulu Silver Cocktail";" cream, dry vermouth, gin, pineapple juice, egg white";1104.0
"Honorable Cocktail";" Bourbon, sweet vermouth, dry vermouth";1105.0
"Hoop La Cocktail";" Cointreau, lemon juice, brandy, Lillet Blanc";1106.0
"Hoosier Honey";" crème de menthe, blended Scotch, Galliano";1107.0
"Hoover Cocktail";" white rum, sweet vermouth, Curaçao";1108.0
"Hop Frog Cocktail";" lime juice, brandy";1109.0
"Hornet";" sloe gin, peppermint schnapps";1110.0
"Horsecar Cocktail";" rye whiskey, dry vermouth, sweet vermouth, Angostura bitters";1111.0
"Horse Shoe";" anisette, gin";1112.0
"Horse's Hiball";" brandy, egg, lemon juice, pastis, sugar";1113.0
"Horse's Neck (with A Kick)";" Bourbon or rye whiskey";1114.0
"Horse's Neck (with A Kick) Variation";" brandy or gin, aromatic bitters";1115.0
"Hot Brandy";" brandy, sugar";1116.0
"Hot Buttered Toddy";" Bourbon or rye whiskey, butter, orange juice, sugar";1117.0
"Hot Buttered Wine";" Muscatel, water, maple syrup, butter";1118.0
"Hot Deck Cocktail";" rye whiskey, sweet vermouth, Jamaica Ginger";1119.0
"Hot Drambuie Toddy (hot Dram)";" Drambuie, lemon juice";1120.0
"Hotel Bristol Special Cocktail";" peach-flavored brandy liqueur, Cointreau";1121.0
"Hotel Drake Vesuvius";" orange juice, Jamaican rum, gold rum, lemon juice, grenadine, sugar";1122.0
"Hot Gin";" gin, lemon juice, sugar";1123.0
"Hot Irish";" Irish whiskey, lemon juice, sugar";1124.0
"Hot Lemonade";" lemon juice, sugar";1125.0
"Hot Light";" 151 proof rum, Curaçao";1126.0
"Hot Locomotive";" wine, honey, Curaçao, egg yolk, sugar";1127.0
"Hot Mint Burgundy Delight";" Burgundy, sprig of mint, cherry, lemon wheel or sugar";1128.0
"Hot Port Flip";" Port, cream or egg, Cognac, egg, coffee";1129.0
"Hot Rum Cow";" white rum, sugar, Angostura bitters";1130.0
"Hot Rum Lemonade";" white rum, lemon juice, sugar";1131.0
"Hot Rum Sling";" white rum, lemon juice, sugar, aromatic bitters";1132.0
"Hot Rye";" rye whiskey, lemon juice, cinnamon, water or sugar";1133.0
"Hot Sangaree";" brandy, water or sugar";1134.0
"Hot Scotch";" blended Scotch, lemon juice, sugar";1135.0
"Hot Scotch Variation";" blended Scotch, lemon juice, Drambuie, sugar";1136.0
"Hot Sling";" liquor or brandy or gin or rum, lemon juice, water or sugar, Angostura bitters";1137.0
"Hot Spot";" Galliano, ginger wine, brandy";1138.0
"Hot Toddy, Special";" blended Scotch, lime juice, Drambuie, grenadine";1139.0
"Hot Whiskey Lemonade";" Bourbon or rye whiskey, lemon juice, sugar";1140.0
"Hot Wine Lemonade";" red wine, lemon juice, sugar";1141.0
"Hour Glass Hiball";" Cognac, Cointreau, pastis";1142.0
"Huapala Cocktail";" white rum, gin, lime juice, grenadine";1143.0
"Hugo Bracer";" apple brandy, lime juice, grenadine, Amer Picon";1144.0
"Hugo Rickey";" lime wheel, gin, lime juice, grenadine";1145.0
"Hugo Special";" gin, sweet vermouth";1146.0
"Hukillau";" orange juice, gold rum, lemon juice, orgeat, Demerara rum";1147.0
"Humpty Dumpty Cocktail";" dry vermouth, maraschino liqueur";1148.0
"Hundred Per Cent Cocktail";" Swedish Punch/Punsch, orange juice, lemon juice, grenadine";1149.0
"Hurricane Cocktail";" gold rum, white rum, passion fruit syrup, lime juice";1150.0
"Hurricane Cocktail #2";" lemon juice, crème de menthe, Bourbon or rye whiskey, gin";1151.0
"Hurricane Punch";" white rum, passion fruit syrup, lime juice, lemon juice";1152.0
"Hurricane Punch Variation";" Hawaiian Punch, dark rum, lemon juice";1153.0
"Ian's Fizz";" gin, lemon juice, orange juice, orgeat, Cointreau";1154.0
"I.b.f. Pick Me Up";" brandy, Fernet Branca, Curaçao";1155.0
"Iced Rum Coffee";" white rum, Jamaican rum";1156.0
"Iced Rum Tea";" white rum, lemon juice, falernum, 151 proof rum, sugar";1157.0
"I Died";" apricot flavored brandy, white rum";1158.0
"I Don't Care Cocktail";" crème de menthe, Bourbon, grenadine";1159.0
"I Don't Know";" cream, crème de cacao, Cheri Suisse";1160.0
"Il Magnifico";" cream, Curaçao, Tuaca";1161.0
"Imperial Delight";" brandy, Curaçao, Fernet Branca";1162.0
"Imperial Hotel Fizz";" Bourbon, lime juice, white rum, lemon juice, sugar";1163.0
"Imperial Punch";" Bourbon, lemon juice, Curaçao";1164.0
"Inca Cocktail";" cocktail Sherry, gin, sweet vermouth, dry vermouth, Angostura bitters or bitters or orange wheel, orgeat";1165.0
"Independence Swizzle";" dark rum, lime juice, honey, sugar, Angostura bitters";1166.0
"Indian Cocktail";" sloe gin, dry vermouth, orange bitters";1167.0
"Indian River Cocktail";" Bourbon or rye whiskey, grapefruit juice, sweet vermouth, framboise liqueur or grenadine";1168.0
"Indispensable Cocktail";" gin, sweet vermouth, dry vermouth, pastis";1169.0
"Inferno";" Tuaca";1170.0
"Instant Eggnog";" white rum, Bourbon";1171.0
"International Stinger";" Galliano, Metaxa";1172.0
"Iris Cocktail";" brandy, lemon juice, sweet vermouth";1173.0
"Iris Cocktail #2";" cocktail Sherry, gin, dry vermouth, orgeat, aromatic bitters";1174.0
"Irish Can Sangaree (irish Can Sang)";" Canadian whiskey, Irish whiskey, orange juice";1175.0
"Irish Coffee Deluxe";" Irish whiskey, crème de cacao";1176.0
"Irish Coffee Supreme";" Irish whiskey, Irish whiskey";1177.0
"Irish Coffee A La Kahlua";" Irish whiskey, Kahlua";1178.0
"Irish Cooler";" Irish whiskey";1179.0
"Irish Elegance Cocktail";" white rum, lime juice, brandy, pineapple juice, crème de violette, sugar";1180.0
"Irish Fix";" Irish whiskey, lemon juice, water or sugar";1181.0
"Irish Fizz";" Irish whiskey, lemon juice, Curaçao, sugar";1182.0
"Irish Rose";" Irish whiskey, grenadine, lemon juice";1183.0
"Irish Shillelagh";" Irish whiskey, lemon juice, white rum, sloe gin, sugar";1184.0
"Irresistible Cocktail";" white rum, sweet vermouth, apricot flavored brandy or Benedictine, lemon juice";1185.0
"Isabelita Cocktail";" gin, sweet vermouth, orange juice, grenadine";1186.0
"Islander";" cream, white rum, Tuaca, vanilla ice cream";1187.0
"Island In The Sun";" pineapple juice, Galliano, lemon juice, apricot flavored brandy, dark rum";1188.0
"I.t. (italian Tea)";" Galliano";1189.0
"Italian Cocktail";" sweet vermouth, Fernet Branca, sugar, pastis";1190.0
"Italian Banana";" crème de banane, Tuaca, vodka";1191.0
"Italian Eggnog";" brandy, Galliano, egg";1192.0
"Italian Fascination";" cream, Galliano, Kahlua, triple sec";1193.0
"Italian Martini";" gin, Galliano";1194.0
"Italian Martini Variation";" gin, amaretto";1195.0
"Italian Martini Variation";" gin, Tuaca";1196.0
"Italian Martini Variation";" gin, Strega";1197.0
"Italian Mouse";" vodka, mint-flavored liqueur or schnapps or cocoa";1198.0
"Italian Orange Blossom";" orange juice, Galliano, Tequila";1199.0
"Italian Stinger";" Galliano, crème de menthe or crème de menthe or brandy";1200.0
"Italian Stinger Variation";" Tuaca, Galliano";1201.0
"Italian Stinger Variation";" Tuaca, crème de menthe";1202.0
"Italian Streaker";" cream, anisette, Galliano or Tuaca";1203.0
"Italian Wine";" orgeat, lemon juice, grenadine";1204.0
"Italian Zinger";" vodka, Galliano";1205.0
"Itchiban";" brandy, egg, Benedictine, crème de cacao";1206.0
"Itchy Bitchy";" brandy, vodka, Grand Marnier";1207.0
"Jabberwock Cocktail";" gin, Dubonnet, cocktail Sherry, orange bitters";1208.0
"Jabon Candido Cocktail";" white rum, egg white, lemon juice, sugar";1209.0
"Jack Dempsey Cocktail";" white rum, gin, lemon juice, sugar";1210.0
"Jack Kearns Cocktail";" gin, white rum, lemon juice, sugar";1211.0
"Jack Pine Cocktail";" gin, pineapple slice, orange juice, dry vermouth";1212.0
"Jack Sloat Cocktail";" gin, pineapple slice, orange juice, sweet vermouth, dry vermouth";1213.0
"Jackson Cocktail";" Dubonnet, gin, orange bitters";1214.0
"Jack Rabbit Cocktail";" applejack, maple syrup, orange juice, lemon juice";1215.0
"Jamaican Elegance";" gold rum, lime juice, pineapple juice, brandy, sugar";1216.0
"Jamaican Ginger Cocktail #1";" Burgundy, orange juice, gin, Jamaica Ginger";1217.0
"Jamaican Ginger Cocktail #2";" Jamaican rum, grenadine, Curaçao, maraschino liqueur, Angostura bitters";1218.0
"Jamaican Ginger Cocktail #3";" white rum, lime juice, falernum, 151 proof rum, Jamaican rum";1219.0
"Jamaican Glow Cocktail";" gin, orange juice, red wine, Jamaican rum";1220.0
"Jamaican Granite";" brandy, Curaçao";1221.0
"Jamaican Honey Bee";" Jamaican rum, honey, lemon juice";1222.0
"Jamaican R.d. (rum Daiquiri)";" Jamaican rum, lime juice, sugar";1223.0
"Jamaican Rum Swizzle";" Jamaican rum, lime juice, sugar";1224.0
"Jamaican Wonder";" lime juice, dark rum, Tia Maria, sugar";1225.0
"Janet Howard Cocktail";" brandy, ice, orgeat, Angostura bitters";1226.0
"Japanese Cocktail #1";" brandy, lime juice or orange bitters or lime juice, orgeat, Angostura bitters";1227.0
"Japanese Cocktail #2";" gin, orgeat, lemon juice";1228.0
"Java Cooler";" gin, lime juice, Angostura bitters";1229.0
"Jean De La Lune Cocktail";" crème de menthe, Cognac, anisette, Angostura bitters";1230.0
"Jersey";" Cognac, green Chartreuse";1231.0
"Jersey City Cocktail";" applejack, pineapple juice, sugar, Angostura bitters";1232.0
"Jersey Hiball";" applejack, sugar, Angostura bitters";1233.0
"Jersey Lighthouse";" applejack, sugar, Angostura bitters";1234.0
"Jersey Lily";" green Chartreuse, Cognac, Angostura bitters";1235.0
"Jersey Mug";" applejack, aromatic bitters";1236.0
"Jersey Sour";" applejack, lemon juice, sugar";1237.0
"Jimmie Walker Cocktail";" Bourbon, sweet vermouth, grenadine, lemon juice";1238.0
"Jimmy Blanc Cocktail";" gin, Lillet Blanc, Dubonnet";1239.0
"Jinx Cocktail";" gin, pineapple juice, grenadine";1240.0
"John Cocktail";" sweet vermouth, sloe gin, Cherry Heering, Peychaud bitters";1241.0
"John Mcclain Cocktail";" blended Scotch, sugar, aromatic bitters";1242.0
"Johnnie (mack) Cocktail";" sloe gin, Curaçao, anisette or pastis";1243.0
"Johnson Delight Cocktail";" pastis, Cointreau, lime juice";1244.0
"John Wood Cocktail";" sweet vermouth, Irish whiskey, lemon juice, kummel, Angostura bitters";1245.0
"Joker";" cream, Benedictine, crème de violette, anisette";1246.0
"Jonkanoo Screwdriver";" white rum, Galliano";1247.0
"Jorio Cocktail";" sweet vermouth, dry vermouth, gin, orgeat, pineapple juice";1248.0
"J.O.S. Cocktail";" sweet vermouth, dry vermouth, gin, lemon juice, orange bitters, brandy";1249.0
"Joscoe Julep  (Jocose Julep)";" Bourbon, sprig of mint, lime juice, crème de menthe, sugar";1250.0
"Josette Cocktail";" egg white, Curaçao, anisette, Cognac";1251.0
"Jubilee Fizz";" pineapple juice, gin";1252.0
"Jump Up And Kiss Me";" rum, pineapple juice, Galliano, egg white, lemon juice, apricot flavored brandy";1253.0
"June Bride Cocktail";" egg white, gin, lemon juice, liqueur or sugar";1254.0
"Jungle Cocktail";" gin, cocktail Sherry, sweet vermouth";1255.0
"Jungle Fire Sling";" brandy, cherry flavored brandy, parfait amour, Benedictine";1256.0
"Junior Cocktail";" rye whiskey, Benedictine, lime juice, aromatic bitters";1257.0
"Jupiter Cocktail";" gin, dry vermouth, parfait amour, orange juice";1258.0
"Kahlua Alexander";" brandy, cream, Kahlua";1259.0
"Kahlua Border Shake";" cream, Kahlua, vanilla ice cream";1260.0
"Kahlua Espresso (viennese)";" triple sec, Kahlua, espresso";1261.0
"Kahlua Martini";" gin, Kahlua";1262.0
"Kahlua Sour";" Kahlua, lemon juice, sugar";1263.0
"Kahlua Supreme";" Kahlua, vanilla ice cream, crème de menthe, instant coffee or water";1264.0
"Kah Set";" Kahlua, anisette";1265.0
"Kailua Cocktail";" white rum, pineapple juice, grenadine, lemon juice";1266.0
"Kaiser Cocktail";" gin, kummel, dry vermouth";1267.0
"Kansas City Cutie";" Bourbon, coffee-flavored liqueur, crème de menthe";1268.0
"Karetto";" amaretto, vodka";1269.0
"Katinka Cocktail";" gin, green Chartreuse, Cordial Medoc, Angostura bitters";1270.0
"K.c.b. Cocktail";" gin, kummel or kirsch, lemon juice, apricot flavored brandy";1271.0
"Kenny Cocktail";" applejack, lemon juice, grenadine, sweet vermouth, Angostura bitters";1272.0
"Kentucky Wonder";" maraschino liqueur or grenadine, sloe gin, Galliano, egg white";1273.0
"Keoke Coffee";" Irish whiskey, brandy, crème de cacao";1274.0
"Key Cocktail";" gin, lime juice, Jamaican rum, falernum";1275.0
"Kicker Cocktail";" white rum, apple brandy or Calvados, sweet vermouth";1276.0
"Kiddie Car Cocktail";" apple brandy, lime juice, triple sec";1277.0
"Kiltie Cocktail";" dry vermouth, Bourbon, Angostura bitters";1278.0
"Kiltie Cocktail Variation";" sweet vermouth, Bourbon, orange bitters";1279.0
"Kim";" brandy, triple sec, Galliano";1280.0
"Kina Cocktail";" gin, Lillet Blanc, sweet vermouth";1281.0
"King's Men";" Cognac, Metaxa, crème de cacao, crème de menthe, Galliano";1282.0
"Kirschcass";" kirsch, crème de cassis";1283.0
"Kirsch Hiball";" kirsch, grenadine";1284.0
"Kirsch Rickey";" kirsch, lime wheel";1285.0
"Kiss Cocktail";" gin, sweet vermouth, Dubonnet, maraschino liqueur";1286.0
"Kiss From Heaven Cocktail";" Cognac, dry vermouth, Drambuie";1287.0
"Kiss Like Wine";" dry vermouth, Dubonnet";1288.0
"Kiss Of Fire";" coffee bean";1289.0
"Kiss Me Quick Hiball";" pastis, Curaçao, aromatic bitters";1290.0
"Kitchen Sink Cocktail";" gin, rye whiskey, lemon juice, orange juice, egg, apricot flavored brandy, sugar";1291.0
"Kitty Hiball";" red wine";1292.0
"Klondike Cocktail";" dry vermouth, applejack, orange bitters";1293.0
"Klondike Hiball";" sweet vermouth, dry vermouth, lemon juice, sugar";1294.0
"Knickerbein Cocktail";" kummel, Yellow Chartreuse, Benedictine, egg yolk, aromatic bitters";1295.0
"Knickerbein Cocktail #2";" brandy, maraschino liqueur, grenadine, egg yolk";1296.0
"Knickerbine Cocktail";" kummel, Benedictine, egg yolk, crème de rose, orange bitters";1297.0
"Knight Cocktail";" brandy, lemon juice, Yellow Chartreuse, Cointreau";1298.0
"Knucklebuster (rusty Nail)";" blended Scotch, Drambuie";1299.0
"Kola Cocktail";" gin, Cola, orange bitters";1300.0
"Kummel Cocktail";" kummel, gin, dry vermouth";1301.0
"Kungsholm Cocktail";" rye whiskey, dry vermouth, Liqueur d'Or";1302.0
"La Creole";" green Chartreuse, Yellow Chartreuse, maraschino liqueur, raspberry syrup or grenadine";1303.0
"Ladies Choice Cocktail";" gin, dry vermouth, kummel";1304.0
"Ladies Punch";" milk, crème de cacao, maraschino liqueur, egg, sugar";1305.0
"Ladies Sub Bourbon";" Bourbon, Curaçao, Angostura bitters";1306.0
"La Dolce Prima";" cream, amaretto";1307.0
"Lady Godiva Cocktail";" cream, crème de cacao, anisette";1308.0
"Lady Hopkins";" Southern Comfort, lime juice, slice of  passion fruit";1309.0
"Lady Kahlua";" Kahlua, crème de menthe";1310.0
"Lafayette Cocktail";" rye whiskey, Dubonnet, dry vermouth, Angostura bitters";1311.0
"Lafitte Cocktail";" gin, pastis, crème de menthe, dry vermouth";1312.0
"La Florida Rum Daisy";" rum, lemon juice, Yellow Chartreuse, sugar, Angostura bitters";1313.0
"Lakeside Cocktail";" brandy, crème de menthe, Cointreau, crème de cacao";1314.0
"La Ma Done Cocktail";" Cordial Medoc, ginger-flavored brandy liqueur, kummel, Benedictine";1315.0
"Lamb's Club Cocktail";" sweet vermouth, dry vermouth, gin, Benedictine";1316.0
"L'amour Cocktail";" gin, lemon juice, cherry liqueur";1317.0
"Land Lady Cocktail";" gin, grenadine, egg white";1318.0
"Land's End Cocktail";" Jamaican rum, lemon juice, framboise eau de vie or framboise liqueur, orange juice";1319.0
"La Negressa Blonde";" cream, crème de cacao, Cognac, gin";1320.0
"La Pirouette Cocktail";" dry vermouth, cocktail Sherry, Angostura bitters, orange bitters";1321.0
"La Place Cocktail";" sweet vermouth, Bourbon, orange bitters";1322.0
"Larchmont Cocktail";" white rum, Grand Marnier, lime juice, sugar";1323.0
"Last Kiss Cocktail";" white rum, gin, lemon juice, dry vermouth, brandy, sugar";1324.0
"Last Resort Cocktail";" Port, egg, brandy, sugar";1325.0
"Last Round Cocktail";" dry vermouth, gin, pastis, brandy";1326.0
"Las Vegas";" vodka, Galliano, lemon juice";1327.0
"Latin Lover";" gold rum, Kahlua";1328.0
"Laughing Boy";" New England rum or sugar, sweet vermouth, sugar, Angostura bitters";1329.0
"Laughing Soup Cocktail";" gin, dry vermouth, lemon juice, sugar";1330.0
"Law's Flip";" Port, brandy, egg yolk, sugar";1331.0
"Layer Cake";" cream, apricot flavored brandy, crème de cacao";1332.0
"La Zaragozana";" apricot flavored brandy, Benedictine, green Chartreuse, Cointreau, Cognac, crème de cacao";1333.0
"Lead Balloon";" brandy, Grand Marnier";1334.0
"Leeward Cocktail";" white rum, sweet vermouth, Calvados";1335.0
"Le Maschere";" blended Scotch, lime juice, Galliano";1336.0
"Lemonade (modern)";" cocktail Sherry, sloe gin, lemon wheel, sugar";1337.0
"Lemon Pie";" Bourbon or rye whiskey";1338.0
"Lemon Rum Cooler";" pineapple juice, white rum, falernum, lemon juice, 151 proof rum";1339.0
"Leo Special Cocktail";" gin, Cointreau, lime juice, pastis";1340.0
"Les Petit Pois Cocktail";" Cognac, yellow Izarra, gin";1341.0
"Let's Slide Cocktail";" brandy, blackberry flavored brandy, Port";1342.0
"Liano";" Cognac, Grand Marnier, Galliano";1344.0
"Liar's Cocktail";" gin, dry vermouth, sweet vermouth, Curaçao";1345.0
"Liberal Cocktail";" Bourbon or rye whiskey, sweet vermouth, Amer Picon, orange bitters";1346.0
"Liberal Cocktail Variation";" Amer Picon, Bourbon, sugar";1347.0
"Licia Albanese";" gin, Campari";1348.0
"Lillane Cocktail";" kirsch, crème de cacao, Cognac, grenadine";1349.0
"Lil' Apple Cocktail";" Calvados, Lillet Blanc";1350.0
"Lillet Cocktail";" Lillet Blanc, gin";1351.0
"Lil' Nut Cocktail";" Lillet Blanc, crème de noyeau";1352.0
"Lillian Russell";" cream, crème de violette, crème de rose";1353.0
"Lillian Waldorf";" maraschino liqueur, Crème Yvette";1354.0
"Lilly Cocktail";" Lillet Blanc, crème de noyeau, gin, lemon juice";1355.0
"Limbo Cow";" Tia Maria";1356.0
"Lime Demi Tasse";" lime liqueur, water, pineapple juice, white rum, lime juice";1357.0
"Lime Rickey";" gin, lime juice";1358.0
"Limey Cocktail";" white rum, Rose's Lime Juice or Rose's Lime Juice, triple sec, lime juice";1359.0
"Liquid Symphony";" Cognac, Yellow Chartreuse, crème de menthe, crème de rose";1360.0
"Lizard Skin";" orange wheel";1361.0
"Lochan Ora Breeze";" Lochan Ora, crème de menthe";1362.0
"Locomotive";" claret, honey, egg, Curaçao, sugar";1363.0
"Loensky Cocktail";" kummel, blended Scotch";1364.0
"Loftus Cocktail";" pastis, dry vermouth, sweet vermouth";1365.0
"London Cocktail";" gin, maraschino liqueur or pastis, orange bitters, sugar";1366.0
"London Cocktail #2";" rye whiskey, egg, orgeat, orange flower water";1367.0
"London Fog Cocktail";" gin, pastis";1368.0
"Long Tom Cooler";" gin, lemon juice, sugar";1369.0
"Long Whistle";" milk, brandy, sugar";1370.0
"Lord Suffolk Cocktail";" gin, maraschino liqueur, sweet vermouth, Cointreau";1371.0
"Lorenzo";" Tuaca, vodka, lime juice";1372.0
